index,ground_truth
308,81.75 item_weight
309,55.39 depth
310,11.93 width
311,43.02 width
312,75.23 item_weight
313,77.29 item_weight
314,43.37 depth
315,1.58 height
316,9.31 width
317,97.55 depth
318,44.83 width
319,30.99 item_weight
320,20.38 height
321,31.95 depth
322,64.86 height
323,85.76 voltage
324,88.71 wattage
325,42.38 depth
326,88.13 height
327,36.64 depth
328,74.45 height
329,93.96 width
330,73.63 item_weight
331,23.17 item_weight
332,55.33 depth
333,66.71 height
334,85.86 voltage
335,47.80 wattage
336,26.50 item_volume
337,25.88 height
338,13.83 depth
339,37.72 wattage
340,76.81 voltage
341,89.66 item_weight
342,56.43 height
343,79.27 depth
344,53.22 width
345,3.79 width
346,46.64 width
347,40.42 depth
348,31.03 height
349,59.21 item_weight
350,21.89 depth
351,57.89 width
352,18.62 depth
353,71.98 height
354,74.02 item_volume
355,93.07 depth
356,67.14 height
357,34.14 depth
358,86.14 width
359,13.68 item_weight
360,5.67 depth
361,43.62 width
362,50.75 item_weight
363,10.11 maximum_weight_recommendation
364,99.37 height
365,34.27 height
366,43.03 width
367,39.34 depth
368,16.59 item_volume
369,62.02 width
370,50.76 width
371,71.26 height
372,19.61 item_volume
373,57.30 height
374,96.22 width
375,44.40 height
376,92.71 item_weight
377,74.67 wattage
378,98.34 voltage
379,51.60 depth
380,44.49 height
381,62.87 width
382,14.00 height
383,22.97 item_weight
384,3.33 voltage
385,34.88 wattage
386,40.59 depth
387,80.74 width
388,59.72 voltage
389,79.40 height
390,85.46 item_volume
391,90.89 width
392,32.24 height
393,41.05 depth
394,39.30 width
395,32.72 height
396,69.40 maximum_weight_recommendation
397,44.08 item_weight
398,15.61 depth
399,11.13 height
400,6.90 width
401,8.20 item_volume
402,53.36 item_weight
403,4.14 height
404,31.02 width
405,9.97 height
406,38.95 wattage
407,8.50 voltage
408,53.85 voltage
409,40.26 width
410,93.28 depth
411,63.92 height
412,33.81 height
413,58.50 width
414,12.96 wattage
415,32.46 item_weight
416,52.65 voltage
417,75.67 item_weight
418,1.31 depth
419,34.90 height
420,54.07 item_volume
421,5.91 wattage
422,64.08 voltage
423,39.96 height
424,35.27 depth
425,95.02 width
426,45.01 item_weight
427,36.78 width
428,4.66 depth
429,45.18 height
430,98.72 depth
431,91.85 width
432,80.92 depth
433,61.44 width
434,17.78 depth
435,62.44 width
436,33.99 item_weight
437,60.69 depth
438,57.05 width
439,41.63 width
440,25.92 depth
441,87.86 item_weight
442,58.42 voltage
443,48.60 wattage
444,47.98 item_weight
445,19.95 wattage
446,79.75 voltage
447,52.00 maximum_weight_recommendation
448,79.84 item_weight
449,58.94 width
450,61.28 width
451,97.88 maximum_weight_recommendation
452,99.53 width
453,48.08 width
454,93.46 width
455,95.63 depth
456,54.62 height
457,6.87 height
458,28.61 depth
459,60.78 height
460,60.06 depth
461,27.10 height
462,39.37 depth
463,93.15 width
464,13.11 voltage
465,49.97 wattage
466,15.70 item_weight
467,44.13 item_volume
468,39.76 item_weight
469,94.34 depth
470,32.64 height
471,66.38 item_weight
472,54.74 wattage
473,65.38 voltage
474,17.49 width
475,95.49 depth
476,91.72 width
477,24.45 height
478,61.08 width
479,60.32 maximum_weight_recommendation
480,92.33 item_weight
481,23.94 item_volume
482,31.37 width
483,34.11 width
484,94.12 width
485,98.64 depth
486,58.72 height
487,86.19 depth
488,29.76 width
489,90.09 height
490,58.96 height
491,87.13 width
492,51.07 width
493,9.55 depth
494,77.55 height
495,68.66 item_volume
496,54.42 depth
497,23.55 width
498,97.85 depth
499,29.56 height
500,95.29 height
501,77.82 voltage
502,47.60 width
503,20.93 depth
504,52.90 item_weight
505,18.31 item_volume
506,61.10 height
507,67.13 width
508,6.82 depth
509,92.56 width
510,89.77 height
511,30.68 height
512,13.91 item_weight
513,86.71 width
514,10.75 item_weight
515,70.30 maximum_weight_recommendation
516,18.67 width
517,43.98 depth
518,14.87 height
519,64.89 voltage
520,91.68 width
521,42.39 height
522,42.13 width
523,41.72 width
524,52.80 depth
525,49.58 height
526,17.01 width
527,34.55 depth
528,45.89 width
529,14.09 depth
530,43.04 depth
531,13.57 height
532,36.66 item_weight
533,35.62 item_weight
534,9.76 height
535,64.62 item_weight
536,1.93 height
537,33.46 width
538,72.81 item_weight
539,37.42 depth
540,84.26 item_volume
541,16.42 depth
542,56.76 depth
543,11.39 height
544,86.96 item_weight
545,97.91 width
546,53.58 depth
547,29.82 height
548,6.49 voltage
549,43.79 height
550,73.32 depth
551,75.47 depth
552,68.45 height
553,31.37 item_weight
554,97.23 depth
555,26.32 height
556,1.71 depth
557,66.74 width
558,42.14 width
559,35.07 maximum_weight_recommendation
560,47.76 item_weight
561,18.07 voltage
562,3.04 depth
563,84.51 height
564,35.98 depth
565,21.90 item_weight
566,84.19 item_weight
567,18.28 item_weight
568,89.17 item_weight
569,97.42 width
570,16.57 depth
571,31.19 height
572,49.38 voltage
573,86.89 item_weight
574,51.81 item_volume
575,88.22 item_weight
576,67.44 item_weight
577,43.27 width
578,47.47 depth
579,90.59 width
580,83.09 depth
581,54.60 height
582,8.19 depth
583,17.87 voltage
584,53.40 wattage
585,86.53 item_weight
586,40.93 item_weight
587,85.47 maximum_weight_recommendation
588,29.25 item_weight
589,37.00 item_weight
590,37.05 item_weight
591,64.66 item_weight
592,22.50 height
593,4.61 depth
594,90.62 width
595,86.56 width
596,4.92 depth
597,77.29 wattage
598,72.66 voltage
599,87.17 item_weight
600,83.78 item_weight
601,37.04 item_weight
602,74.86 item_volume
603,95.12 width
604,88.67 depth
605,73.31 width
606,85.39 height
607,26.93 wattage
608,54.43 voltage
609,31.42 width
610,69.49 height
611,84.08 height
612,22.08 width
613,78.85 depth
614,71.64 item_weight
615,18.03 wattage
616,42.87 voltage
617,73.51 item_weight
618,25.16 depth
619,67.47 width
620,82.73 item_weight
621,75.47 wattage
622,6.95 depth
623,24.68 height
624,75.67 depth
625,20.41 width
626,74.11 item_weight
627,12.80 height
628,26.10 width
629,91.72 height
630,81.10 item_weight
631,69.10 depth
632,17.23 depth
633,11.45 width
634,44.57 depth
635,98.01 height
636,23.85 height
637,75.88 height
638,98.07 height
639,16.19 depth
640,5.41 depth
641,41.22 width
642,31.68 voltage
643,32.26 width
644,4.45 wattage
645,53.45 voltage
646,72.93 depth
647,55.96 height
648,76.01 item_volume
649,87.39 item_weight
650,71.68 voltage
651,46.99 item_weight
652,13.54 wattage
653,22.35 item_weight
654,68.49 item_weight
655,23.90 height
656,11.36 width
657,60.35 height
658,3.12 width
659,99.30 depth
660,85.19 height
661,75.87 height
662,24.71 depth
663,61.35 height
664,1.03 width
665,97.96 depth
666,43.38 item_weight
667,21.03 width
668,63.08 depth
669,34.35 maximum_weight_recommendation
670,73.12 item_volume
671,82.22 voltage
672,60.46 item_weight
673,93.83 width
674,42.07 depth
675,46.37 width
676,7.51 height
677,99.21 voltage
678,44.62 item_weight
679,91.81 height
680,82.03 depth
681,96.34 height
682,97.45 depth
683,97.85 width
684,44.90 item_weight
685,93.68 item_volume
686,69.54 voltage
687,77.19 width
688,45.93 height
689,74.91 depth
690,91.45 item_volume
691,41.01 depth
692,84.50 item_weight
693,70.16 depth
694,54.05 height
695,80.91 wattage
696,72.41 voltage
697,54.86 depth
698,75.75 item_weight
699,91.79 item_volume
700,33.95 item_weight
701,81.16 item_weight
702,75.84 depth
703,65.37 height
704,56.04 width
705,75.21 height
706,45.46 depth
707,31.85 height
708,89.85 height
709,95.13 depth
710,49.79 width
711,64.54 item_weight
712,89.07 item_weight
713,33.56 height
714,88.70 depth
715,44.77 width
716,83.63 width
717,76.02 depth
718,22.57 height
719,67.32 item_weight
720,52.91 depth
721,59.47 height
722,22.16 item_weight
723,12.35 wattage
724,70.74 voltage
725,89.12 item_weight
726,27.65 item_weight
727,68.36 item_weight
728,46.76 item_weight
729,44.10 voltage
730,29.77 wattage
731,65.16 width
732,34.49 height
733,49.22 width
734,85.67 height
735,19.64 height
736,90.45 depth
737,88.98 height
738,53.84 depth
739,85.74 item_weight
740,28.69 item_volume
741,74.83 width
742,51.54 depth
743,47.02 depth
744,89.71 wattage
745,80.61 voltage
746,38.41 item_weight
747,62.80 height
748,2.24 depth
749,8.43 depth
750,3.14 height
751,44.85 maximum_weight_recommendation
752,11.51 height
753,93.65 height
754,26.39 depth
755,63.38 depth
756,17.28 width
757,75.24 depth
758,8.20 height
759,70.02 width
760,70.56 item_weight
761,28.11 item_weight
762,59.58 voltage
764,85.45 width
765,25.80 item_volume
766,75.18 width
767,19.37 depth
768,33.43 height
769,9.31 depth
770,11.93 width
771,31.35 height
772,76.06 wattage
773,61.41 voltage
774,76.73 item_weight
775,25.08 wattage
776,7.93 item_weight
777,89.15 voltage
778,28.32 width
779,47.77 voltage
780,53.76 wattage
781,72.20 item_weight
782,82.59 width
783,5.91 depth
784,73.93 maximum_weight_recommendation
785,3.17 width
786,56.22 depth
787,88.85 height
788,49.30 item_weight
789,41.24 depth
790,99.98 height
791,9.70 width
792,78.04 depth
793,65.52 height
794,55.17 depth
795,53.98 width
796,88.79 voltage
797,4.71 depth
798,96.34 height
799,38.35 width
800,86.74 voltage
801,95.41 depth
802,81.96 width
803,20.53 height
804,25.67 height
805,42.39 depth
806,34.03 width
807,90.11 height
808,30.91 width
809,76.10 wattage
810,39.16 voltage
811,47.10 item_weight
812,29.13 item_weight
813,43.24 depth
814,12.84 width
815,20.66 item_volume
816,72.89 wattage
817,51.36 item_weight
818,44.58 voltage
819,13.29 item_weight
820,94.42 height
821,18.09 depth
822,85.26 width
823,43.10 voltage
824,30.99 wattage
825,73.22 maximum_weight_recommendation
826,8.25 height
827,68.71 depth
828,35.71 height
829,98.19 maximum_weight_recommendation
830,16.03 item_weight
831,19.64 item_volume
832,65.28 depth
833,38.36 maximum_weight_recommendation
834,94.60 item_weight
835,18.78 height
836,44.74 depth
837,79.27 width
838,93.78 height
839,67.35 depth
840,68.01 height
841,25.95 width
842,26.62 item_weight
843,14.71 item_weight
844,8.27 item_weight
845,22.51 wattage
846,51.15 voltage
847,49.20 width
848,75.13 item_weight
849,66.85 item_volume
850,67.91 voltage
851,37.28 wattage
852,29.74 item_weight
853,73.23 height
854,80.00 depth
855,16.46 height
856,20.72 width
857,83.46 height
858,64.68 item_weight
859,47.24 item_volume
860,42.31 item_weight
861,77.54 height
862,96.90 maximum_weight_recommendation
863,31.97 depth
864,79.95 height
865,39.72 width
866,80.72 depth
867,99.32 item_volume
868,73.81 depth
869,56.96 width
870,99.73 depth
871,42.43 height
872,54.07 item_weight
873,11.81 depth
874,10.73 height
875,59.45 item_weight
876,93.41 height
877,59.13 height
878,69.81 maximum_weight_recommendation
879,60.71 width
880,54.76 depth
881,99.99 width
882,50.54 item_weight
883,69.30 width
884,90.32 depth
885,94.26 item_weight
886,35.30 wattage
887,14.92 voltage
888,91.55 item_weight
889,33.26 voltage
890,27.73 width
891,64.53 height
892,6.01 depth
893,41.37 height
894,51.59 depth
895,99.03 item_weight
896,91.58 depth
897,87.88 height
898,79.31 height
899,75.40 item_weight
900,49.05 wattage
901,80.99 height
902,32.22 width
903,58.63 depth
904,12.04 item_volume
905,82.34 depth
906,87.80 height
907,46.00 depth
908,57.68 width
909,69.65 height
910,21.86 depth
911,72.83 height
912,99.39 height
913,59.10 voltage
914,97.32 wattage
915,38.04 item_weight
916,40.40 width
917,19.97 height
918,41.73 height
919,39.66 depth
920,59.58 wattage
921,6.59 voltage
922,26.04 height
923,53.49 width
924,68.29 width
925,87.49 maximum_weight_recommendation
926,60.48 height
927,11.07 depth
928,63.01 height
929,59.41 width
930,60.88 depth
931,98.30 height
932,9.23 width
933,3.60 voltage
934,81.16 wattage
935,82.86 voltage
936,48.38 item_weight
937,8.89 height
938,11.81 depth
939,44.41 item_weight
940,18.93 voltage
941,29.65 wattage
942,65.73 item_weight
943,41.39 voltage
944,53.69 height
945,58.07 height
946,94.57 width
947,31.44 maximum_weight_recommendation
948,99.69 item_weight
949,81.50 width
950,26.91 depth
951,76.91 depth
952,61.37 height
953,83.78 depth
954,63.16 width
955,43.17 height
956,21.93 width
957,1.41 width
958,68.31 depth
959,83.17 width
960,22.65 depth
961,17.01 depth
962,51.02 height
963,10.69 height
964,10.32 depth
965,16.40 width
966,26.40 height
967,27.94 depth
968,6.82 voltage
969,35.13 wattage
970,76.80 depth
971,29.99 maximum_weight_recommendation
972,91.58 maximum_weight_recommendation
973,25.86 depth
974,7.49 width
975,42.05 height
976,68.14 maximum_weight_recommendation
977,94.31 width
978,23.00 depth
979,45.86 item_weight
980,38.01 item_volume
981,46.50 item_weight
982,12.98 depth
983,45.80 height
984,97.42 width
985,17.74 width
986,74.59 item_volume
987,77.02 width
988,88.89 depth
989,74.39 width
990,90.86 width
991,8.67 item_weight
992,73.58 height
993,9.05 depth
994,70.80 width
995,4.96 depth
996,23.51 width
997,91.08 item_weight
998,1.18 item_weight
999,28.66 item_weight
1000,42.25 voltage
1001,62.28 item_weight
1002,96.05 item_weight
1003,82.99 depth
1004,59.31 height
1005,51.29 item_volume
1006,81.95 item_weight
1007,47.58 height
1008,39.58 item_weight
1009,9.69 height
1010,91.57 height
1011,51.14 depth
1012,96.96 voltage
1013,55.19 wattage
1014,96.20 item_weight
1015,69.27 maximum_weight_recommendation
1016,43.45 width
1017,57.78 item_weight
1018,62.10 item_weight
1019,17.40 item_weight
1020,9.28 height
1021,43.35 depth
1022,5.20 height
1023,31.92 height
1024,23.08 depth
1025,15.99 height
1026,11.85 item_weight
1027,67.80 item_weight
1028,87.88 maximum_weight_recommendation
1029,11.36 item_weight
1030,77.09 width
1031,48.44 depth
1032,29.64 height
1033,44.54 voltage
1034,60.03 wattage
1035,23.48 voltage
1036,92.66 height
1037,51.00 item_volume
1038,26.07 width
1039,81.70 depth
1040,3.67 item_volume
1041,98.34 width
1042,10.81 height
1043,60.72 height
1044,27.62 depth
1045,79.82 height
1046,73.83 voltage
1047,12.99 item_weight
1048,79.98 wattage
1049,86.44 voltage
1050,17.31 width
1051,49.31 depth
1052,14.01 width
1053,24.37 item_volume
1054,4.35 voltage
1055,80.85 width
1056,25.80 width
1057,56.32 width
1058,51.47 depth
1059,67.77 item_weight
1060,86.48 wattage
1061,29.61 voltage
1062,11.97 item_weight
1063,85.63 item_weight
1064,29.43 voltage
1065,1.17 width
1066,5.77 voltage
1067,50.85 depth
1068,92.85 width
1069,16.61 item_weight
1070,13.74 width
1071,76.04 depth
1072,52.80 height
1073,87.88 width
1074,76.92 depth
1075,13.90 height
1076,47.64 depth
1077,17.42 height
1078,37.36 height
1079,90.18 width
1080,19.29 width
1081,13.46 depth
1082,97.27 wattage
1083,31.38 item_weight
1084,53.43 width
1085,8.55 depth
1086,80.76 height
1087,84.05 height
1088,91.42 width
1089,32.09 depth
1090,7.17 item_weight
1091,38.53 width
1092,57.81 depth
1093,70.18 width
1094,45.81 item_volume
1095,83.47 depth
1096,21.92 height
1097,44.00 width
1098,57.76 height
1099,34.45 item_weight
1100,38.09 item_weight
1101,38.18 item_weight
1102,12.40 height
1103,80.85 width
1104,67.93 item_volume
1105,79.85 depth
1106,15.15 width
1107,71.36 depth
1108,18.76 height
1109,88.57 height
1110,49.64 depth
1111,19.70 item_volume
1112,64.73 width
1113,8.00 height
1114,6.25 voltage
1115,32.66 width
1116,79.44 depth
1117,13.94 width
1118,87.67 width
1119,30.69 depth
1120,92.61 height
1121,23.63 height
1122,96.17 depth
1123,78.91 height
1124,89.26 item_weight
1125,84.18 width
1126,75.59 height
1127,50.82 wattage
1128,73.11 voltage
1129,10.71 height
1130,97.63 item_weight
1131,18.25 voltage
1132,67.96 wattage
1133,13.98 width
1134,32.58 depth
1135,49.81 height
1136,57.45 maximum_weight_recommendation
1137,86.23 depth
1138,25.50 width
1139,45.24 width
1140,92.87 depth
1141,97.25 width
1142,14.84 height
1143,18.36 depth
1144,11.13 depth
1145,69.48 width
1146,3.95 item_weight
1147,91.11 height
1148,27.98 item_weight
1149,35.98 voltage
1150,68.86 depth
1151,21.78 height
1152,83.72 width
1153,75.77 height
1154,88.55 width
1155,47.83 depth
1156,76.47 item_volume
1157,32.20 height
1158,25.77 depth
1159,21.82 height
1160,49.46 height
1161,20.17 height
1162,21.33 depth
1163,82.87 width
1164,77.09 maximum_weight_recommendation
1165,62.45 width
1166,44.74 depth
1167,80.82 height
1168,10.57 depth
1169,92.41 width
1170,9.07 item_weight
1171,57.41 width
1172,10.72 depth
1173,73.25 width
1174,51.22 depth
1175,64.92 height
1176,13.94 item_weight
1177,22.78 item_weight
1178,51.54 height
1179,23.75 height
1180,5.53 depth
1181,75.94 item_volume
1182,39.53 item_volume
1183,82.24 maximum_weight_recommendation
1184,94.41 width
1185,29.55 voltage
1186,48.14 item_volume
1187,89.84 depth
1188,47.40 width
1189,93.75 maximum_weight_recommendation
1190,93.69 height
1191,33.05 width
1192,57.10 depth
1193,69.70 width
1194,91.41 height
1195,66.02 height
1196,51.86 width
1197,85.06 depth
1198,17.53 height
1199,78.34 width
1200,26.13 width
1201,36.19 height
1202,86.16 maximum_weight_recommendation
1203,11.69 width
1204,60.39 height
1205,57.93 height
1206,16.68 depth
1207,36.78 width
1208,66.93 depth
1209,92.16 depth
1210,16.06 height
1211,20.94 item_weight
1212,36.30 item_weight
1213,53.79 height
1214,25.83 voltage
1215,1.60 item_weight
1216,80.07 width
1217,20.94 depth
1218,61.76 item_weight
1219,91.26 item_weight
1220,66.87 depth
1221,75.48 height
1222,92.67 depth
1223,51.63 height
1224,99.44 item_weight
1225,51.55 height
1226,39.46 item_weight
1227,50.80 height
1228,19.14 depth
1229,13.85 width
1230,35.84 height
1231,66.86 height
1232,83.63 depth
1233,65.48 depth
1234,15.20 item_weight
1235,6.21 width
1236,40.64 maximum_weight_recommendation
1237,88.74 width
1238,84.55 depth
1239,1.88 width
1240,18.57 depth
1241,22.16 item_weight
1242,94.57 item_volume
1243,51.82 width
1244,13.09 depth
1245,46.51 width
1246,75.77 item_weight
1247,9.60 height
1248,5.56 depth
1249,28.44 width
1250,36.63 height
1251,97.77 item_volume
1252,16.60 width
1253,76.91 depth
1254,66.69 item_weight
1255,98.76 item_weight
1256,67.80 maximum_weight_recommendation
1257,99.84 depth
1258,49.24 width
1259,38.68 height
1260,50.70 item_volume
1261,68.78 depth
1262,14.99 width
1263,23.75 width
1264,38.18 maximum_weight_recommendation
1265,90.90 height
1266,11.47 item_volume
1267,45.04 height
1268,45.88 depth
1269,79.04 height
1270,49.62 width
1271,89.29 wattage
1272,63.59 item_weight
1273,76.34 voltage
1274,98.85 item_volume
1275,25.33 width
1276,97.50 depth
1277,4.33 height
1278,65.16 wattage
1279,56.12 voltage
1280,65.13 maximum_weight_recommendation
1281,72.17 height
1282,19.58 item_weight
1283,89.22 item_weight
1284,76.10 item_volume
1285,14.50 item_weight
1286,26.69 height
1287,5.45 height
1288,98.49 height
1289,50.41 height
1290,81.47 item_weight
1291,9.23 item_weight
1292,38.93 height
1293,19.63 depth
1294,61.57 item_weight
1295,31.84 height
1296,23.66 height
1297,74.13 depth
1298,34.39 width
1299,90.15 depth
1300,24.78 height
1301,30.76 height
1302,72.73 width
1303,24.94 item_weight
1304,76.62 height
1305,90.94 wattage
1306,14.22 depth
1307,18.04 width
1308,7.39 depth
1309,6.25 voltage
1310,73.84 item_weight
1311,43.84 item_weight
1312,14.00 width
1313,12.18 depth
1314,78.55 width
1315,88.28 width
1316,88.36 depth
1317,81.52 height
1318,92.24 width
1319,85.01 depth
1320,37.27 height
1321,23.57 item_weight
1322,69.75 depth
1323,85.88 width
1324,59.32 item_volume
1325,47.89 depth
1326,44.03 width
1327,15.36 item_weight
1328,10.41 item_volume
1329,62.16 depth
1330,98.37 height
1331,66.63 item_weight
1332,61.79 maximum_weight_recommendation
1333,55.46 item_weight
1334,87.52 width
1335,41.49 depth
1336,10.69 depth
1337,5.84 width
1338,26.64 height
1339,75.47 width
1340,61.38 item_weight
1341,52.93 width
1342,72.18 item_weight
1343,4.20 height
1344,11.61 height
1345,78.58 width
1346,96.94 depth
1347,51.69 item_weight
1348,22.29 voltage
1349,22.57 maximum_weight_recommendation
1350,1.45 item_weight
1351,25.99 item_weight
1352,30.71 item_weight
1353,29.18 voltage
1354,3.85 wattage
1355,95.50 width
1356,67.22 depth
1357,20.32 height
1358,84.45 depth
1359,26.20 width
1360,94.77 width
1361,86.47 width
1362,49.28 depth
1363,41.52 width
1364,83.90 item_weight
1365,40.05 height
1366,61.65 depth
1367,66.04 width
1368,60.31 item_weight
1369,56.01 voltage
1370,1.65 item_weight
1371,19.06 wattage
1372,60.24 voltage
1373,24.23 depth
1374,16.93 height
1375,40.72 width
1376,12.60 height
1377,88.30 height
1378,54.33 height
1379,33.04 depth
1380,80.27 voltage
1381,82.05 height
1382,85.29 width
1383,18.47 width
1384,25.33 depth
1385,56.05 item_weight
1386,67.77 voltage
1387,41.27 height
1388,77.37 width
1389,74.18 depth
1390,56.70 height
1391,83.95 item_weight
1392,80.87 width
1393,9.06 item_volume
1394,96.12 height
1395,44.91 width
1396,94.45 width
1397,49.06 height
1398,15.71 depth
1399,99.67 item_volume
1400,36.58 height
1401,25.93 item_weight
1402,49.15 height
1403,42.04 depth
1404,89.58 voltage
1405,72.61 height
1406,62.23 maximum_weight_recommendation
1407,26.70 width
1408,27.30 item_weight
1409,86.49 depth
1410,68.34 height
1411,13.45 wattage
1412,1.17 voltage
1413,86.83 item_weight
1414,64.81 wattage
1415,82.26 item_weight
1416,50.69 height
1417,43.21 item_weight
1418,30.85 depth
1419,95.95 height
1420,10.10 width
1421,25.49 height
1422,56.05 item_weight
1423,65.55 maximum_weight_recommendation
1424,64.89 width
1425,16.61 voltage
1426,69.81 item_weight
1427,71.54 wattage
1428,31.74 depth
1429,70.23 width
1430,32.42 height
1431,89.13 height
1432,27.95 width
1433,76.46 height
1434,92.25 depth
1435,83.72 height
1436,31.62 height
1437,63.85 width
1438,1.62 voltage
1439,17.86 item_weight
1440,37.18 wattage
1441,31.29 voltage
